Model Name,β_Land (PgC ppm⁻¹),γ_Land (PgC K⁻¹),β_Ocean (PgC ppm⁻¹),γ_Ocean (PgC K⁻¹)
ACCESS-ESM1.5,0.37,-21.1,0.9,-23.8
CanESM5,1.28,16.0,0.77,-14.7
CESM2,0.9,-21.6,0.71,-10.9
CNRM-ESM2-1,1.36,-83.1,0.7,-9.4
IPSL-CM6A-LR,0.62,-8.7,0.76,-13.0
MIROC-ES2L,1.12,-69.6,0.73,-22.3
MPI-ESM1.2-LR,0.71,-5.2,0.77,-20.1
NOAA-GFDL-ESM4,0.93,-80.1,0.84,-21.7
NorESM2-LM,0.85,-21.0,0.78,-19.6
UKESM1-0-LL,0.75,-38.4,0.75,-14.1
CMIP6 Model Mean,0.89 ± 0.30,-33.3 ± 33.8,0.77 ± 0.06,-16.9 ± 5.1
CMIP5 Model Mean,0.93 ± 0.49,-57.9 ± 38.2,0.82 ± 0.07,-17.3 ± 3.8
