climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,d83f825b-61e6-4b6f-94b5-910c0fbc2f75,IMAGE,0.5,,,World,SSP126,climate,not_relevant,10^22 J,Heat Content,45.427589999999995,46.56404,47.636610000000005,48.744135,50.015405,51.36947,52.714079999999996,53.926465,55.140010000000004,56.328869999999995,57.483145,58.60019,59.675115,60.927220000000005,62.191950000000006,63.461965,64.67188,66.087255,67.64845,69.18271999999999,70.58919,72.00085999999999,73.39277,74.897065,76.28816499999999,77.75685999999999,79.25562500000001,80.78699,82.268965,83.73378500000001,85.29364000000001,86.895845,88.60242,90.067545,91.39318,93.06248,94.662485,96.107625,97.570615,99.17486500000001,100.83001,102.54156,104.064045,105.56385,107.114875,108.635145,110.189235,111.70863,113.125635,114.5292,116.07348999999999,117.626075,119.15838500000001,120.5488,122.00669500000001,123.38869500000001,124.78411,126.08538999999999,127.37687,128.66226,129.933495,131.30653,132.56122499999998,133.700035,135.038995,136.36798499999998,137.66078,139.17014,140.497815,141.63957,143.13853999999998,144.481525,145.836315,147.152315,148.21981499999998,149.51504,150.72030999999998,152.01574499999998,153.19377500000002,154.17651999999998,155.21172,156.139475,157.100815,158.16467,159.15052,160.025265,160.962955,161.88443,162.86648,163.812615,164.72484,165.492835,166.21927,167.02120000000002,167.912085,168.807895,169.57778000000002,170.31251500000002,171.15951,171.90673,172.671615,173.40338,174.08589,174.70772499999998,175.26436999999999,175.830625
MAGICC7,d83f825b-61e6-4b6f-94b5-910c0fbc2f75,IMAGE,0.5,,,World,SSP126,climate,not_relevant,10^22 J,Heat Content|Ocean,40.188815000000005,41.36768,42.21368,43.201025,44.37523,45.668665000000004,46.87598,48.01939,49.032035,50.11465,51.129419999999996,52.14056,53.143135,54.258245,55.466555,56.56782,57.73477,58.84616,59.980205,61.196855,62.457205,63.70325,64.857205,66.079165,67.31871000000001,68.591895,69.74179000000001,71.13721,72.49494,73.877735,75.25625,76.496775,77.73551499999999,78.97958,80.21077,81.45608,82.639655,83.893065,85.37709000000001,86.69521,88.19384500000001,89.64373499999999,91.115625,92.4458,93.81556,95.1966,96.36404999999999,97.582645,98.697435,99.84794,100.99607,102.16151500000001,103.38528,104.650615,105.780005,106.912245,108.027455,109.09988999999999,110.3144,111.451495,112.52047999999999,113.63978,114.71677,115.78703,116.807445,117.791415,118.881655,120.00711000000001,121.00001499999999,122.11465,123.156375,124.17099999999999,125.11714,126.09863999999999,127.14103,128.07969500000002,128.99183,129.904135,130.802975,131.704345,132.595405,133.464095,134.327725,135.189095,136.166255,136.92365,137.647465,138.350365,139.06233,139.67192999999997,140.32187,141.08195,141.842985,142.53999,143.0892,143.72196000000002,144.40398,145.05491,145.722295,146.40046,147.021445,147.61175500000002,148.118255,148.59287,149.08381,149.67725000000002
MAGICC7,d83f825b-61e6-4b6f-94b5-910c0fbc2f75,IMAGE,0.5,,,World,SSP126,climate,not_relevant,GtC,CO2_ATMOS_POOL,764.7874,768.53662,771.184,776.87576,780.93494,783.65238,786.93878,791.5287,796.99755,800.3434,804.41956,808.88423,812.26617,816.8009,820.07244,825.24619,829.97411,834.37297,840.12418,843.99228,849.09173,854.97703,860.75369,866.504115,872.2147500000001,877.91933,883.6449749999999,889.22583,894.594145,899.82668,904.9511,909.968105,914.85785,919.635165,924.3792100000001,928.971795,933.53764,938.0213249999999,942.255645,946.316255,950.1626100000001,953.85969,957.324975,960.670365,963.959325,967.1137100000001,970.0201,972.7642800000001,975.3544899999999,977.7332,979.944345,982.00487,983.864365,985.5454050000001,987.17272,988.700715,990.08878,991.293815,992.315435,993.20491,993.96617,994.5418400000001,994.954995,995.3825300000001,995.764435,996.004205,996.030135,995.95271,995.8078,995.41404,994.9089650000001,994.43671,993.83916,993.0650800000001,992.23522,991.342895,990.360955,989.24531,987.9962,986.654315,985.228325,983.577815,981.7434900000001,979.60979,977.358675,975.065595,972.74626,970.3721800000001,967.9283700000001,965.361705,962.7256600000001,960.01719,957.2136399999999,954.4195500000001,951.501975,948.496625,945.46097,942.4927749999999,939.58007,936.766835,933.9663,931.13658,928.567935,925.923945,923.369535,920.85057
MAGICC7,d83f825b-61e6-4b6f-94b5-910c0fbc2f75,IMAGE,0.5,,,World,SSP126,climate,not_relevant,GtC / yr,CO2I_INVERSE_EMMS,6.2588799999999996,5.100775,7.22029,6.67779,5.506075,5.914645,7.449335,8.386835,6.658555,7.114565,7.59727,6.567165,7.790875,6.950340000000001,8.672525,8.277905,7.99966,9.29137,7.64808,8.582609999999999,9.608515,9.705225,9.79242,9.85333,9.91187,9.9676,9.925605000000001,9.8777,9.819775,9.76084,9.700485,9.646585,9.591895000000001,9.539494999999999,9.483175,9.426974999999999,9.22176,9.020925,8.81837,8.6143,8.40051,8.1929,7.97846,7.772935,7.562495,7.354055000000001,7.16062,6.97003,6.77805,6.58498,6.39309,6.196205,6.00022,5.80039,5.598765,5.401565,5.224465,5.04669,4.86761,4.69082,4.51388,4.33458,4.149095,3.9683450000000002,3.78869,3.60397,3.43696,3.27293,3.1105150000000004,2.94672,2.7828,2.621695,2.456365,2.288175,2.11844,1.9514550000000002,1.73795,1.52685,1.313,1.097575,0.8837550000000001,0.6690849999999999,0.45543500000000003,0.242805,0.027630000000000002,-0.18958,-0.34473,-0.49633,-0.6472549999999999,-0.79488,-0.94539,-1.09266,-1.2386249999999999,-1.3859,-1.53192,-1.678145,-1.67057,-1.6598000000000002,-1.652935,-1.642015,-1.62567,-1.610075,-1.59192,-1.575515,-1.55714,-1.53931
MAGICC7,d83f825b-61e6-4b6f-94b5-910c0fbc2f75,IMAGE,0.5,,,World,SSP126,climate,not_relevant,GtC / yr,Net Atmosphere to Land Flux|CO2,0.89669,0.9128400000000001,0.07273,1.0082149999999999,1.0768149999999999,1.0285250000000001,1.2729050000000002,1.24463,1.4841600000000001,1.26676,1.383045,1.3794650000000002,1.486815,1.8894799999999998,1.76715,1.772155,1.75749,1.7264650000000001,1.8905750000000001,1.6524,1.900045,1.994735,2.05943,2.120165,2.1680599999999997,2.2128300000000003,2.2945149999999996,2.36519,2.427825,2.476815,2.52523,2.56385,2.6113,2.6539,2.695485,2.74815,2.73413,2.722265,2.7027400000000004,2.68072,2.6655550000000003,2.64572,2.605765,2.571025,2.5391199999999996,2.51559,2.520745,2.5372700000000004,2.55246,2.55472,2.561095,2.5570250000000003,2.5528750000000002,2.54683,2.5312349999999997,2.514175,2.4844749999999998,2.4749,2.465725,2.44401,2.42471,2.4070600000000004,2.37547,2.35363,2.33353,2.30916,2.27046,2.229605,2.188755,2.153175,2.1228300000000004,2.0946749999999996,2.0615699999999997,2.03449,1.995345,1.96325,1.9250099999999999,1.89054,1.86123,1.827965,1.798485,1.756555,1.7098499999999999,1.66073,1.6094300000000001,1.5428199999999999,1.46844,1.390775,1.316665,1.24428,1.176555,1.1046749999999999,1.03241,0.96271,0.889725,0.815705,0.770145,0.7355499999999999,0.70486,0.678565,0.6585650000000001,0.63732,0.6168199999999999,0.597055,0.5810500000000001,0.5643050000000001
MAGICC7,d83f825b-61e6-4b6f-94b5-910c0fbc2f75,IMAGE,0.5,,,World,SSP126,climate,not_relevant,GtC / yr,Net Atmosphere to Ocean Flux|CO2,1.746425,1.68019,1.602285,1.772735,1.83527,1.71173,1.6784,1.7848,1.9411450000000001,1.924485,1.910025,1.97489,1.958145,1.98746,1.9597799999999999,2.019955,2.1009650000000004,2.0801800000000004,2.1644750000000004,2.1378,2.1562799999999998,2.26823,2.3363300000000002,2.37119,2.400155,2.4263450000000004,2.447825,2.451035,2.45015,2.448795,2.449405,2.45466,2.45367,2.4504599999999996,2.4457649999999997,2.4364850000000002,2.42815,2.418915,2.401275,2.3758749999999997,2.345605,2.32282,2.3006900000000003,2.28264,2.26391,2.243255,2.2273899999999998,2.208205,2.18225,2.1521100000000004,2.118945,2.0827850000000003,2.04875,2.0141,1.98393,1.9570750000000001,1.9413200000000002,1.918105,1.891465,1.864325,1.831,1.79588,1.75793,1.7254749999999999,1.69578,1.66503,1.63667,1.608195,1.586085,1.557645,1.52613,1.493115,1.4533749999999999,1.412775,1.37766,1.3476249999999999,1.324495,1.297,1.266435,1.229005,1.1927150000000002,1.154585,1.11491,1.073665,1.0282550000000001,0.97906,0.930525,0.89239,0.857965,0.82664,0.793885,0.75868,0.72387,0.68792,0.653095,0.61587,0.575665,0.54493,0.518725,0.501145,0.48784,0.47322,0.45865500000000003,0.44399500000000003,0.42930999999999997,0.41232
MAGICC7,d83f825b-61e6-4b6f-94b5-910c0fbc2f75,IMAGE,0.5,1900.0,1850.0,World,SSP126,climate,not_relevant,K,Surface Temperature,0.5423646519607843,0.6063995539215685,0.6351304362745096,0.672300044117647,0.726533769607843,0.7721305343137254,0.8056623970588235,0.8271414166666666,0.8442976911764706,0.8572336715686273,0.8681509264705881,0.8819067107843137,0.8989082794117647,0.9278040637254901,0.9539760245098039,0.9755614166666665,1.0063758284313724,1.033264357843137,1.0659286715686274,1.0936195539215685,1.115536612745098,1.135760338235294,1.157810338235294,1.1819161225490196,1.2064680833333332,1.2357021029411763,1.26329906372549,1.2947685735294119,1.3269388676470586,1.3537379852941176,1.3765122990196077,1.39772337745098,1.414978475490196,1.4361872990196078,1.4543226911764706,1.47399906372549,1.4912272990196076,1.5085857303921566,1.5297611225490195,1.551416906862745,1.5739064166666665,1.5948285735294117,1.614120926470588,1.627246024509804,1.6395738676470588,1.6498133774509802,1.6570300441176469,1.6639814166666667,1.6721438676470586,1.6802688676470585,1.6914017107843136,1.7064777892156862,1.7226454362745096,1.7369651421568626,1.7456067107843136,1.7457109264705881,1.7440551421568626,1.7470651421568626,1.7487382794117647,1.7512104362745098,1.7569815147058825,1.765950044117647,1.773320044117647,1.777267887254902,1.7820288676470588,1.784412593137255,1.7861141617647058,1.7877493578431372,1.788314357843137,1.7890693578431371,1.790151906862745,1.7936548480392156,1.797689455882353,1.8002955343137252,1.8004955343137254,1.7983704362745097,1.7954804362745098,1.7920704362745097,1.7876288676470586,1.7829888676470587,1.7780238676470586,1.7743362205882351,1.7716619068627448,1.769416906862745,1.7660884754901958,1.7655284754901959,1.7625104362745097,1.7581754362745097,1.7524154362745097,1.745446906862745,1.734921906862745,1.7250876911764705,1.7175626911764705,1.7101695539215687,1.7038295539215687,1.7032495539215686,1.6999845539215686,1.6975495539215684,1.6938806323529412,1.6866606323529412,1.6776895539215684,1.6680554362745095,1.6599995539215686,1.651845044117647,1.6461452401960783,1.6414302401960783
MAGICC7,d83f825b-61e6-4b6f-94b5-910c0fbc2f75,IMAGE,0.5,,,World,SSP126,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.695775,1.7933,1.6814,1.838495,2.0182599999999997,2.0626249999999997,2.0812,2.057505,2.0765,2.0700950000000002,2.04684,2.099255,2.12212,2.242005,2.2805299999999997,2.28266,2.42251,2.462735,2.54516,2.53574,2.56076,2.5874449999999998,2.634435,2.67859,2.7270849999999998,2.773105,2.83845,2.904915,2.958955,3.003945,3.029055,3.0546249999999997,3.07429,3.10702,3.1316249999999997,3.155065,3.17306,3.20044,3.244865,3.296575,3.3222750000000003,3.354515,3.35808,3.37518,3.369505,3.3658099999999997,3.3578,3.362905,3.3745700000000003,3.39173,3.428305,3.453785,3.478765,3.4851650000000003,3.473345,3.44651,3.43044,3.41961,3.410775,3.41181,3.426285,3.447525,3.44681,3.4478,3.446685,3.425525,3.40466,3.3843750000000004,3.371945,3.36439,3.362475,3.3756199999999996,3.38781,3.390155,3.3766249999999998,3.35863,3.3312999999999997,3.314405,3.295905,3.273,3.2552849999999998,3.23811,3.2313650000000003,3.2304649999999997,3.22882,3.2209649999999996,3.20444,3.18717,3.15897,3.137045,3.10457,3.0755600000000003,3.05849,3.0415900000000002,3.0349500000000003,3.03991,3.0406500000000003,3.04928,3.020455,2.988855,2.96098,2.93071,2.91296,2.8964749999999997,2.89067,2.898705
MAGICC7,d83f825b-61e6-4b6f-94b5-910c0fbc2f75,IMAGE,0.5,,,World,SSP126,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.224715,-1.1544699999999999,-1.28644,-1.3005200000000001,-1.153755,-1.10778,-1.105985,-1.18876,-1.201545,-1.205235,-1.233465,-1.2344650000000001,-1.24254,-1.181095,-1.152685,-1.209625,-1.16276,-1.20206,-1.153315,-1.196415,-1.181055,-1.1489,-1.11516,-1.0783900000000002,-1.041555,-1.00895,-0.9837400000000001,-0.95379,-0.921825,-0.89261,-0.863245,-0.8329599999999999,-0.802845,-0.7710349999999999,-0.7354499999999999,-0.71271,-0.69766,-0.6833899999999999,-0.667435,-0.65181,-0.6326499999999999,-0.6139300000000001,-0.5967800000000001,-0.58189,-0.56503,-0.55233,-0.540945,-0.52967,-0.5182100000000001,-0.5064649999999999,-0.494645,-0.483115,-0.471025,-0.45809,-0.44653,-0.434655,-0.42616,-0.41761499999999996,-0.408505,-0.40183,-0.39424,-0.385285,-0.37661500000000003,-0.370325,-0.361925,-0.355525,-0.35082,-0.34599,-0.34023499999999995,-0.333725,-0.32777,-0.32150500000000004,-0.31554,-0.30839,-0.30198,-0.295085,-0.28719,-0.27954500000000004,-0.27329000000000003,-0.26487,-0.255845,-0.248315,-0.240645,-0.232885,-0.22545500000000002,-0.219615,-0.214515,-0.20881499999999997,-0.20414,-0.19895000000000002,-0.19388,-0.1879,-0.181365,-0.1775,-0.17185,-0.165165,-0.15917,-0.15179,-0.14436500000000002,-0.13683,-0.129825,-0.12188,-0.11397,-0.107145,-0.100165,-0.091575
MAGICC7,d83f825b-61e6-4b6f-94b5-910c0fbc2f75,IMAGE,0.5,,,World,SSP126,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.35824500000000004,-0.356085,-0.363605,-0.365585,-0.35116,-0.35345000000000004,-0.35026999999999997,-0.342605,-0.34612,-0.350225,-0.35507500000000003,-0.34911,-0.343285,-0.332585,-0.31818,-0.31043,-0.308885,-0.307955,-0.30752500000000005,-0.311,-0.30999,-0.30357999999999996,-0.29691,-0.290755,-0.2844,-0.27703500000000003,-0.27232,-0.26917500000000005,-0.26407,-0.25819000000000003,-0.25451,-0.25075000000000003,-0.24445,-0.23935,-0.23191,-0.22968,-0.22688999999999998,-0.22380499999999998,-0.22086499999999998,-0.21783,-0.213935,-0.21006,-0.206685,-0.20258500000000002,-0.198435,-0.195175,-0.192805,-0.189515,-0.187885,-0.186575,-0.185255,-0.18273,-0.1805,-0.17788500000000002,-0.175425,-0.17345500000000003,-0.17135,-0.169025,-0.16677999999999998,-0.165385,-0.16264499999999998,-0.16113,-0.15862,-0.15640500000000002,-0.154225,-0.152725,-0.15139000000000002,-0.149945,-0.14884999999999998,-0.14736,-0.146555,-0.14592,-0.14513500000000001,-0.14446,-0.14327499999999999,-0.141955,-0.14088,-0.13998500000000003,-0.13924,-0.137765,-0.136125,-0.1348,-0.13422499999999998,-0.13270500000000002,-0.13121,-0.12978499999999998,-0.12858,-0.127525,-0.126445,-0.12525999999999998,-0.12397,-0.12304000000000001,-0.12203,-0.120835,-0.12019,-0.11927,-0.11824499999999999,-0.116715,-0.114465,-0.113155,-0.11101,-0.10935500000000001,-0.10778,-0.10594,-0.10395499999999999,-0.10206
